"word"	"n"	"right_spelling"
"Foxton"	42	FALSE
"ia"	42	FALSE
"qf"	42	FALSE
"un"	42	FALSE
"vires"	42	FALSE
"com"	41	FALSE
"EdenMonaro"	41	FALSE
"fi"	41	FALSE
"noi"	41	FALSE
"Thorby"	41	FALSE
"Com"	40	FALSE
"Duthie"	40	FALSE
"Jowett"	40	FALSE
"lis"	40	FALSE
"ve"	40	FALSE
"VicePresident"	40	FALSE
"Bawra"	39	FALSE
"Higgs"	39	FALSE
"Labor's"	39	FALSE
"oregon"	39	FALSE
"TAA"	39	FALSE
"Wagga"	39	FALSE
"Hawke"	38	FALSE
"Philp"	38	FALSE
"Scully"	38	FALSE
"5m"	37	FALSE
"ACTU"	37	FALSE
"Drakeford"	37	FALSE
"ito"	37	FALSE
"oi"	37	FALSE
"Ord"	37	FALSE
"Ellicott"	36	FALSE
"fo"	36	FALSE
"Isa"	36	FALSE
"oan"	36	FALSE
"theGovernment"	36	FALSE
"Holden's"	35	FALSE
"honorably"	35	FALSE
"ihe"	35	FALSE
"Indo"	35	FALSE
"InterState"	35	FALSE
"Jd"	35	FALSE
"u"	35	FALSE
"Chipp"	34	FALSE
"etc"	34	FALSE
"hy"	34	FALSE
"Knibbs"	34	FALSE
"ou"	34	FALSE
"Poynton"	34	FALSE
"Scholes"	34	FALSE
"19s"	33	FALSE
"acknowledgment"	33	FALSE
"bogy"	33	FALSE
"CSIRO"	33	FALSE
"Duntroon"	33	FALSE
"Enderby"	33	FALSE
"Grassby"	33	FALSE
"Hulme"	33	FALSE
"Roberton"	33	FALSE
"Tooma"	33	FALSE
"Tt"	33	FALSE
"Woomera"	33	FALSE
"1d"	32	FALSE
"a3"	32	FALSE
"Austraiian"	32	FALSE
"Cessnock"	32	FALSE
"cf"	32	FALSE
"io"	32	FALSE
"Mahony"	32	FALSE
"Marr"	32	FALSE
"Nos"	32	FALSE
"noticepaper"	32	FALSE
"T.A.A"	32	FALSE
"TransAustralia"	32	FALSE
"Wilfrid"	32	FALSE
"willbe"	32	FALSE
"Archdale"	31	FALSE
"M.P"	31	FALSE
"Millen"	31	FALSE
"Sandford"	31	FALSE
"tenderers"	31	FALSE
"ter"	31	FALSE
"tq"	31	FALSE
"Viner"	31	FALSE
"wellbeing"	31	FALSE
"Wran"	31	FALSE
"arn"	30	FALSE
"Clarey"	30	FALSE
"Connor"	30	FALSE
"McLeay"	30	FALSE
"Moloney"	30	FALSE
"O'Malley"	30	FALSE
"Ryrie"	30	FALSE
"thi3"	30	FALSE
"tralia"	30	FALSE
"verv"	30	FALSE
"wilh"	30	FALSE
"1s"	29	FALSE
"Anstey"	29	FALSE
"Fairhall"	29	FALSE
"Hurford"	29	FALSE
"Kurri"	29	FALSE
"mis"	29	FALSE
"A.C.T"	28	FALSE
"AddressinReply"	28	FALSE
"Begley"	28	FALSE
"benchers"	28	FALSE
"BHP"	28	FALSE
"Coghlan"	28	FALSE
"hasbeen"	28	FALSE
"indorsement"	28	FALSE
"mv"	28	FALSE
"OECD"	28	FALSE
"om"	28	FALSE
"Playford"	28	FALSE
"Seato"	28	FALSE
"sion"	28	FALSE
"Tullamarine"	28	FALSE
"wa3"	28	FALSE
"100m"	27	FALSE
"CES"	27	FALSE
"DirectorGeneral"	27	FALSE
"Luchetti"	27	FALSE
"Manus"	27	FALSE
"nien"	27	FALSE
"npt"	27	FALSE
"parte"	27	FALSE
"Perkins"	27	FALSE
"repre"	27	FALSE
"Wyndham"	27	FALSE
"2m"	26	FALSE
"Barkly"	26	FALSE
"BUI"	26	FALSE
"Callide"	26	FALSE
"CHAIRMAN.The"	26	FALSE
"commonsense"	26	FALSE
"iti"	26	FALSE
"mc"	26	FALSE
"nd"	26	FALSE
"ordinated"	26	FALSE
"Papuan"	26	FALSE
"Randwick"	26	FALSE
"socalled"	26	FALSE
"tions"	26	FALSE
"10m"	25	FALSE
"A.N.A"	25	FALSE
"Carruthers"	25	FALSE
"CHAIRMAN.Order"	25	FALSE
"Hamer"	25	FALSE
"havebeen"	25	FALSE
"hon"	25	FALSE
"im"	25	FALSE
"Innes"	25	FALSE
"Lyell"	25	FALSE
"Teesdale"	25	FALSE
"Tn"	25	FALSE
"tralian"	25	FALSE
"wc"	25	FALSE
"10d"	24	FALSE
"50c"	24	FALSE
"aa"	24	FALSE
"alia"	24	FALSE
"and1"	24	FALSE
"Anzac"	24	FALSE
"Ballaarat"	24	FALSE
"Freeth"	24	FALSE
"freetraders"	24	FALSE
"McLachlan"	24	FALSE
"Newnes"	24	FALSE
"of1s"	24	FALSE
"Tennant"	24	FALSE
"Thev"	24	FALSE
"val"	24	FALSE
"vernment"	24	FALSE
"wheatgrowing"	24	FALSE
"Yampi"	24	FALSE
"1,000m"	23	FALSE
"20m"	23	FALSE
"Blain"	23	FALSE
"Bourchier"	23	FALSE
"Chowilla"	23	FALSE
"forthe"	23	FALSE
"Gunn"	23	FALSE
"Hodgman"	23	FALSE
"Keon"	23	FALSE
"Lemmon"	23	FALSE
"mcn"	23	FALSE
"nonunionists"	23	FALSE
"o'f"	23	FALSE
"the1"	23	FALSE
"2i"	22	FALSE
"AIDC"	22	FALSE
"andI"	22	FALSE
"bers"	22	FALSE
"Chinn"	22	FALSE
"donot"	22	FALSE
"Gabb"	22	FALSE
"H.M.A.S"	22	FALSE
"homeconsumption"	22	FALSE
"Lamond"	22	FALSE
"lm"	22	FALSE
"loth"	22	FALSE
"Q.C"	22	FALSE
"sheweth"	22	FALSE
"4m"	21	FALSE
"50m"	21	FALSE
"ali"	21	FALSE
"Avith"	21	FALSE
"CONROY"	21	FALSE
"Essendon"	21	FALSE
"goldmining"	21	FALSE
"ha3"	21	FALSE
"Healy"	21	FALSE
"Howse"	21	FALSE
"i.e"	21	FALSE
"Queenslanders"	21	FALSE
"SouthWales"	21	FALSE
"Starke"	21	FALSE
"tb"	21	FALSE
"Wau"	21	FALSE
"3m"	20	FALSE
"6m"	20	FALSE
"Armitage"	20	FALSE
"aTe"	20	FALSE
"Avas"	20	FALSE
"Bamford"	20	FALSE
"Bayley"	20	FALSE
"butI"	20	FALSE
"coalmining"	20	FALSE
"Coombs"	20	FALSE
"Dibbs"	20	FALSE
"favoritism"	20	FALSE
"hia"	20	FALSE
"ments"	20	FALSE
"powellised"	20	FALSE
"Ryde"	20	FALSE
"thatthe"	20	FALSE
"22s"	19	FALSE
"25m"	19	FALSE
"ami"	19	FALSE
"Brockman"	19	FALSE
"bythe"	19	FALSE
"dutv"	19	FALSE
"exservicemen's"	19	FALSE
"Garran"	19	FALSE
"JOSEPHCOOK"	19	FALSE
"Klugman"	19	FALSE
"lor"	19	FALSE
"ozs"	19	FALSE
"Paltridge"	19	FALSE
"Pedvin"	19	FALSE
"pur"	19	FALSE
"raisings"	19	FALSE
"rata"	19	FALSE
"selfgovernment"	19	FALSE
"senting"	19	FALSE
"therefor"	19	FALSE
"tory"	19	FALSE
"trie"	19	FALSE
"triennium"	19	FALSE
"ure"	19	FALSE
"wellknown"	19	FALSE
"wharfage"	19	FALSE
"Woolgrowers"	19	FALSE
"Yirrkala"	19	FALSE
"40s"	18	FALSE
"antiLabour"	18	FALSE
"Avar"	18	FALSE
"bub"	18	FALSE
"Cass"	18	FALSE
"centum"	18	FALSE
"dishonorable"	18	FALSE
"exserviceman"	18	FALSE
"freetrader"	18	FALSE
"Karmel"	18	FALSE
"Kew"	18	FALSE
"Macdonnell"	18	FALSE
"Mayoh"	18	FALSE
"Mir"	18	FALSE
"Murrumbidgee"	18	FALSE
"powellising"	18	FALSE
"Rivett"	18	FALSE
"ro"	18	FALSE
"se"	18	FALSE
"subjectmatter"	18	FALSE
"threefourths"	18	FALSE
"vear"	18	FALSE
"1960s"	17	FALSE
"30m"	17	FALSE
"35s"	17	FALSE
"500m"	17	FALSE
"advisableness"	17	FALSE
"Ampol"	17	FALSE
"ANZUS"	17	FALSE
"Broadmeadows"	17	FALSE
"Carpentaria"	17	FALSE
"ComptrollerGeneral"	17	FALSE
"farreaching"	17	FALSE
"Gilruth"	17	FALSE
"Gove"	17	FALSE
"halfadozen"	17	FALSE
"Hoskins"	17	FALSE
"nian"	17	FALSE
"O'Keefe"	17	FALSE
"ohe"	17	FALSE
"orable"	17	FALSE
"VIa"	17	FALSE
"waggons"	17	FALSE
"200m"	16	FALSE
"21s"	16	FALSE
"backblocks"	16	FALSE
"Balmain"	16	FALSE
"Batchelor"	16	FALSE
"Bil"	16	FALSE
"Bros"	16	FALSE
"Chaney"	16	FALSE
"Cloncurry"	16	FALSE
"Coles"	16	FALSE
"dp"	16	FALSE
"employe's"	16	FALSE
"fruitgrowers"	16	FALSE
"Guilfoyle"	16	FALSE
"honorablemembers"	16	FALSE
"Ilansard"	16	FALSE
"ir"	16	FALSE
"ite"	16	FALSE
"itis"	16	FALSE
"Longreach"	16	FALSE
"Lysaght"	16	FALSE
"MacKellar"	16	FALSE
"McGirr"	16	FALSE
"McVeigh"	16	FALSE
"memberfor"	16	FALSE
"Millar"	16	FALSE
"monwealth"	16	FALSE
"of1"	16	FALSE
"onethird"	16	FALSE
"onthe"	16	FALSE
"ordinating"	16	FALSE
"R.S.L"	16	FALSE
"Sharkey"	16	FALSE
"Ss"	16	FALSE
"thatwe"	16	FALSE
"theCommonwealth"	16	FALSE
"theHouse"	16	FALSE
"Werribee"	16	FALSE
"withthe"	16	FALSE
"wouldbe"	16	FALSE
"24s"	15	FALSE
"60m"	15	FALSE
"9m"	15	FALSE
"analyze"	15	FALSE
"ari"	15	FALSE
"Askin"	15	FALSE
"Aus.tralian"	15	FALSE
"AVe"	15	FALSE
"Bougainville"	15	FALSE
"businesspaper"	15	FALSE
"Camooweal"	15	FALSE
"conscriptionist"	15	FALSE
"Considine"	15	FALSE
"Danysz"	15	FALSE
"hae"	15	FALSE
"hig"	15	FALSE
"Inchcape"	15	FALSE
"it3"	15	FALSE
"KingsfordSmith"	15	FALSE
"Laidely"	15	FALSE
"Locarno"	15	FALSE
"M.L.A"	15	FALSE
"Mackinnon"	15	FALSE
"mot"	15	FALSE
"Nimmo"	15	FALSE
"Northcote"	15	FALSE
"notbe"	15	FALSE
"Prahran"	15	FALSE
"PrimeMinister"	15	FALSE
"Queenslander"	15	FALSE
"statutebook"	15	FALSE
"stearine"	15	FALSE
"th'e"	15	FALSE
"wa"	15	FALSE
"3i"	14	FALSE
"ai"	14	FALSE
"aU"	14	FALSE
"AuditorGeneral's"	14	FALSE
"Aurukun"	14	FALSE
"Burdekin"	14	FALSE
"byelection"	14	FALSE
"cental"	14	FALSE
"Conelan"	14	FALSE
"dissentient"	14	FALSE
"Foncier"	14	FALSE
"Hanlon"	14	FALSE
"Holten"	14	FALSE
"ils"	14	FALSE
"Jarman"	14	FALSE
"Kwinana"	14	FALSE
"Mcwilliams"	14	FALSE
"mo"	14	FALSE
"Molonglo"	14	FALSE
"Mulcahy"	14	FALSE
"nonparty"	14	FALSE
"secondhand"	14	FALSE
"Stales"	14	FALSE
"T.P.I"	14	FALSE
"thom"	14	FALSE
"Tlie"	14	FALSE
"tories"	14	FALSE
"U.S.A"	14	FALSE
"Unrra"	14	FALSE
"uponnotice"	14	FALSE
"Vesteys"	14	FALSE
"Wc"	14	FALSE
"Wo"	14	FALSE
"Woodside"	14	FALSE
"11d"	13	FALSE
"1970s"	13	FALSE
"1S"	13	FALSE
"27s"	13	FALSE
"2a"	13	FALSE
"5i"	13	FALSE
"anc"	13	FALSE
"ar"	13	FALSE
"Attlee"	13	FALSE
"bt"	13	FALSE
"Cahill"	13	FALSE
"centals"	13	FALSE
"Connolly"	13	FALSE
"dairyfarmers"	13	FALSE
"deadweight"	13	FALSE
"Edmonds"	13	FALSE
"Forgan"	13	FALSE
"harbors"	13	FALSE
"Iam"	13	FALSE
"indus"	13	FALSE
"Joske"	13	FALSE
"Katter"	13	FALSE
"lc"	13	FALSE
"li"	13	FALSE
"M.H.R"	13	FALSE
"meatworks"	13	FALSE
"Mountjoy"	13	FALSE
"Murwillumbah"	13	FALSE
"Papuans"	13	FALSE
"Parlia"	13	FALSE
"phthisis"	13	FALSE
"ques"	13	FALSE
"rauch"	13	FALSE
"retrospectivity"	13	FALSE
"RSL"	13	FALSE
"shallbe"	13	FALSE
"shouldbe"	13	FALSE
"thatI"	13	FALSE
"Thehonorable"	13	FALSE
"U.S.S.R"	13	FALSE
"194S"	12	FALSE
"1950s"	12	FALSE
"2,000m"	12	FALSE
"26s"	12	FALSE
"300m"	12	FALSE
"32s"	12	FALSE
"7i"	12	FALSE
"8i"	12	FALSE
"A.B.C"	12	FALSE
"Ainslie"	12	FALSE
"ana"	12	FALSE
"andthe"	12	FALSE
"Australianmade"	12	FALSE
"bp"	12	FALSE
"Bulolo"	12	FALSE
"Catts"	12	FALSE
"Cobar"	12	FALSE
"Cooma"	12	FALSE
"Dandenong"	12	FALSE
"doe3"	12	FALSE
"employés"	12	FALSE
"Everingham"	12	FALSE
"favorite"	12	FALSE
"firstclass"	12	FALSE
"Giblin"	12	FALSE
"ha.ve"	12	FALSE
"Hallett"	12	FALSE
"Haworth"	12	FALSE
"hehas"	12	FALSE
"ie"	12	FALSE
"Ihave"	12	FALSE
"ind"	12	FALSE
"isa"	12	FALSE
"isnot"	12	FALSE
"ister"	12	FALSE
"Itis"	12	FALSE
"K.C"	12	FALSE
"Kerin"	12	FALSE
"Kimberleys"	12	FALSE
"Kurrajong"	12	FALSE
"Lae"	12	FALSE
"Malays"	12	FALSE
"Ministerialists"	12	FALSE
"Moonie"	12	FALSE
"Mr.Fenton"	12	FALSE
"nas"	12	FALSE
"Niemeyer"	12	FALSE
"of1d"	12	FALSE
"ofa"	12	FALSE
"onehalf"	12	FALSE
"paraffine"	12	FALSE
"puisne"	12	FALSE
"Sd"	12	FALSE
"seised"	12	FALSE
"ser"	12	FALSE
"Spahlinger"	12	FALSE
"Speakerhas"	12	FALSE
"Stacey"	12	FALSE
"Teasdale"	12	FALSE
"ted"	12	FALSE
"terra"	12	FALSE
"Tes"	12	FALSE
"Tha"	12	FALSE
"tha.t"	12	FALSE
"theMinister"	12	FALSE
"thereis"	12	FALSE
"Tho"	12	FALSE
"Timms"	12	FALSE
"vol"	12	FALSE
"weshall"	12	FALSE
"Woolnough"	12	FALSE
"14m"	11	FALSE
"150m"	11	FALSE
"23s"	11	FALSE
"28s"	11	FALSE
"60s"	11	FALSE
"70m"	11	FALSE
"8m"	11	FALSE
"A.C.T.U"	11	FALSE
"ac"	11	FALSE
"Angliss"	11	FALSE
"ap"	11	FALSE
"Australiangrown"	11	FALSE
"Baillieu"	11	FALSE
"Bankstown"	11	FALSE
"Breen"	11	FALSE
"brigalow"	11	FALSE
"Broughton"	11	FALSE
"C.M.F"	11	FALSE
"Carnarvon"	11	FALSE
"codlin"	11	FALSE
"confreres"	11	FALSE
"Cootamundra"	11	FALSE
"Dardanelles"	11	FALSE
"deregistration"	11	FALSE
"dinkum"	11	FALSE
"Dwyer"	11	FALSE
"fairminded"	11	FALSE
"Falkinder"	11	FALSE
"favored"	11	FALSE
"fromthe"	11	FALSE
"Fysh"	11	FALSE
"Goldring"	11	FALSE
"Hutchin"	11	FALSE
"ib"	11	FALSE
"ist"	11	FALSE
"isthe"	11	FALSE
"lantana"	11	FALSE
"Laverton"	11	FALSE
"mau"	11	FALSE
"Mauger"	11	FALSE
"Maunsell"	11	FALSE
"McKellar"	11	FALSE
"Moree"	11	FALSE
"NewSouth"	11	FALSE
"nexion"	11	FALSE
"Nott"	11	FALSE
"ofl"	11	FALSE
"personation"	11	FALSE
"Pigott"	11	FALSE
"prewar"	11	FALSE
"RYRIE"	11	FALSE
"st"	11	FALSE
"thematter"	11	FALSE
"tilings"	11	FALSE
"tn"	11	FALSE
"tomake"	11	FALSE
"Torrens"	11	FALSE
"unfavorably"	11	FALSE
"uptodate"	11	FALSE
"vide"	11	FALSE
"wageearners"	11	FALSE
"Warracknabeal"	11	FALSE
"Weipa"	11	FALSE
"Wheatgrowers"	11	FALSE
"whichI"	11	FALSE
"16m"	10	FALSE
"192S"	10	FALSE
"1930s"	10	FALSE
"40m"	10	FALSE
"50s"	10	FALSE
"7m"	10	FALSE
"800m"	10	FALSE
"AlburyWodonga"	10	FALSE
"Anzus"	10	FALSE
"applegrowers"	10	FALSE
"Ashfield"	10	FALSE
"at1s"	10	FALSE
"Athol"	10	FALSE
"AUS"	10	FALSE
"bea"	10	FALSE
"Borroloola"	10	FALSE
"Bunnerong"	10	FALSE
"cany"	10	FALSE
"Castlemaine"	10	FALSE
"cetera"	10	FALSE
"CHAIRMAN.I"	10	FALSE
"CMF"	10	FALSE
"cotta"	10	FALSE
"Cripps"	10	FALSE
"DDL"	10	FALSE
"Depanment"	10	FALSE
"Eldridge"	10	FALSE
"Esso"	10	FALSE
"exMinister"	10	FALSE
"globo"	10	FALSE
"hanking"	10	FALSE
"Hon.Archie"	10	FALSE
"Howson"	10	FALSE
"Huddart"	10	FALSE
"Huon"	10	FALSE
"il"	10	FALSE
"interjector"	10	FALSE
"Ironworkers"	10	FALSE
"itwas"	10	FALSE
"Ivor"	10	FALSE
"lascars"	10	FALSE
"LiberalCountry"	10	FALSE
"LieutenantGovernor"	10	FALSE
"lodgment"	10	FALSE
"longstanding"	10	FALSE
"lucerne"	10	FALSE
"M.r"	10	FALSE
"Maffra"	10	FALSE
"Maralinga"	10	FALSE
"Marrickville"	10	FALSE
"McWilliams"	10	FALSE
"mon"	10	FALSE
"Mr.CURTIN"	10	FALSE
"Mumimbidgee"	10	FALSE
"Nam"	10	FALSE
"O'sullivan"	10	FALSE
"Oan"	10	FALSE
"ob"	10	FALSE
"ONA"	10	FALSE
"Opperman"	10	FALSE
"Petherick"	10	FALSE
"pollard"	10	FALSE
"POYNTON"	10	FALSE
"Queenscliff"	10	FALSE
"Renmark"	10	FALSE
"rs"	10	FALSE
"Scotchman"	10	FALSE
"selfgoverning"	10	FALSE
"Soekarno"	10	FALSE
"Sth"	10	FALSE
"SWAPO"	10	FALSE
"SYDNEYSMITH"	10	FALSE
"thathe"	10	FALSE
"toto"	10	FALSE
"Trea"	10	FALSE
"twothirds"	10	FALSE
"unmanufactured"	10	FALSE
"Wardinterjecting"	10	FALSE
"was1s"	10	FALSE
"Whan"	10	FALSE
"wheatgrower"	10	FALSE
"whichhe"	10	FALSE
"Williamtown"	10	FALSE
"Wiluna"	10	FALSE
"YassCanberra"	10	FALSE
"193S"	9	FALSE
"1980s"	9	FALSE
"4S"	9	FALSE
"65m"	9	FALSE
"6a"	9	FALSE
"A.I.F"	9	FALSE
"A.L.P"	9	FALSE
"a.nd"	9	FALSE
"Allard"	9	FALSE
"analyzed"	9	FALSE
"ASEAN"	9	FALSE
"asI"	9	FALSE
"Beaton"	9	FALSE
"Benalla"	9	FALSE
"Blau"	9	FALSE
"bludgers"	9	FALSE
"Booh"	9	FALSE
"BrucePage"	9	FALSE
"Burketown"	9	FALSE
"c.i.f"	9	FALSE
"C.S.I.R.O"	9	FALSE
"caine"	9	FALSE
"canbe"	9	FALSE
"Cashman"	9	FALSE
"Cobden"	9	FALSE
"CommanderinChief"	9	FALSE
"Commis"	9	FALSE
"Commonweal"	9	FALSE
"Connair"	9	FALSE
"Convair"	9	FALSE
"Corowa"	9	FALSE
"dme"	9	FALSE
"ds"	9	FALSE
"Dunlop"	9	FALSE
"e.g"	9	FALSE
"elec"	9	FALSE
"F111"	9	FALSE
"F27"	9	FALSE
"fait"	9	FALSE
"Fallon"	9	FALSE
"Flemington"	9	FALSE
"Holdens"	9	FALSE
"honorablegentleman"	9	FALSE
"hu"	9	FALSE
"i9"	9	FALSE
"ifr"	9	FALSE
"Iia"	9	FALSE
"Indus"	9	FALSE
"intrust"	9	FALSE
"isto"	9	FALSE
"Jumbunna"	9	FALSE
"Keswick"	9	FALSE
"Kurnell"	9	FALSE
"Laker"	9	FALSE
"Lukin"	9	FALSE
"M.L.C"	9	FALSE
"Macdonald"	9	FALSE
"MacRobertson"	9	FALSE
"Minogue"	9	FALSE
"mittee"	9	FALSE
"Mullens"	9	FALSE
"ness"	9	FALSE
"novo"	9	FALSE
"nsk"	9	FALSE
"od"	9	FALSE
"Oenpelli"	9	FALSE
"olds"	9	FALSE
"or1s"	9	FALSE
"oyer"	9	FALSE
"Plimsoll"	9	FALSE
"postoffice"	9	FALSE
"postoffices"	9	FALSE
"Rathmines"	9	FALSE
"Salamaua"	9	FALSE
"Seddon"	9	FALSE
"selfcontained"	9	FALSE
"sideration"	9	FALSE
"Sydnev"	9	FALSE
"t'o"	9	FALSE
"taels"	9	FALSE
"tariffist"	9	FALSE
"Tas"	9	FALSE
"ths"	9	FALSE
"to1s"	9	FALSE
"Toorak"	9	FALSE
"twentyfour"	9	FALSE
"Vestey"	9	FALSE
"Waratah"	9	FALSE
"wheatfarmers"	9	FALSE
"whichhas"	9	FALSE
"Wilcannia"	9	FALSE
"Wilks"	9	FALSE
"Yallourn"	9	FALSE
"1.5m"	8	FALSE
"10c"	8	FALSE
"16a"	8	FALSE
"18m"	8	FALSE
"1a"	8	FALSE
"20c"	8	FALSE
"2Vi"	8	FALSE
"36s"	8	FALSE
"4,000m"	8	FALSE
"4c"	8	FALSE
"4i"	8	FALSE
"600m"	8	FALSE
"8J"	8	FALSE
"Abbco"	8	FALSE
"aire"	8	FALSE
"anr"	8	FALSE
"arenot"	8	FALSE
"Austrafia"	8	FALSE
"automobile"	8	FALSE
"AWC"	8	FALSE
"balancesheet"	8	FALSE
"Barwell"	8	FALSE
"Baume"	8	FALSE
"Bega"	8	FALSE
"Blackett"	8	FALSE
"Blewett"	8	FALSE
"Blowering"	8	FALSE
"Bolte"	8	FALSE
"Bonnett"	8	FALSE
"burke"	8	FALSE
"bylaw"	8	FALSE
"canefields"	8	FALSE
"Che"	8	FALSE
"cither"	8	FALSE
"cottongrowers"	8	FALSE
"Davey"	8	FALSE
"DC3"	8	FALSE
"DC9"	8	FALSE
"Deen"	8	FALSE
"Denton"	8	FALSE
"DeputyLeader"	8	FALSE
"detente"	8	FALSE
"doso"	8	FALSE
"DrakeBrockman"	8	FALSE
"Dreyfus"	8	FALSE
"exsoldiers"	8	FALSE
"exTreasurer"	8	FALSE
"Falstein"	8	FALSE
"fanners"	8	FALSE
"favor"	8	FALSE
"fd"	8	FALSE
"fibro"	8	FALSE
"foc"	8	FALSE
"foi1"	8	FALSE
"fruitgrowing"	8	FALSE
"Gambier"	8	FALSE
"Givens"	8	FALSE
"Gosford"	8	FALSE
"Goverment"	8	FALSE
"hardworking"	8	FALSE
"haveto"	8	FALSE
"Hawkesbury"	8	FALSE
"hirepurchase"	8	FALSE
"Homebush"	8	FALSE
"hon.orable"	8	FALSE
"ihat"	8	FALSE
"instal"	8	FALSE
"interjectors"	8	FALSE
"inthis"	8	FALSE
"Inverell"	8	FALSE
"Irian"	8	FALSE
"isno"	8	FALSE
"kauri"	8	FALSE
"Keogh"	8	FALSE
"Kogarah"	8	FALSE
"Ky"	8	FALSE
"Kyogle"	8	FALSE
"Laurier"	8	FALSE
"Leeton"	8	FALSE
"Lenehan"	8	FALSE
"liament"	8	FALSE
"Lockyer"	8	FALSE
"Macphee"	8	FALSE
"madeby"	8	FALSE
"Magna"	8	FALSE
"marihuana"	8	FALSE
"Massy"	8	FALSE
"Matson"	8	FALSE
"Mclvor"	8	FALSE
"McTiernan"	8	FALSE
"Mie"	8	FALSE
"Ministerfor"	8	FALSE
"Moonta"	8	FALSE
"Mr.Curtin"	8	FALSE
"Mr.Reid"	8	FALSE
